course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
MATH UN2030,ORDINARY DIFFERENTIAL EQUATIONS,Prerequisites: MATH UN1102 and MATH UN1201 or the equivalent. Special differential equations of order one. Linear differential equations with constant and variable coefficients. Systems of such equations. Transform and series solution techniques. Emphasis on applications.,Elena Giorgi,,,10028,,V2030-20271-001,ORDINARY DIFFERENTIAL EQU,Mathematics,MATH,https://doc.sis.columbia.edu/subj/MATH/V2030-20271-001/,,In-Person,,3,"MATH UN1102
MATH UN1201",,20271MATH2030V001,LECTURE
MATH UN2030,ORDINARY DIFFERENTIAL EQUATIONS,Prerequisites: MATH UN1102 and MATH UN1201 or the equivalent. Special differential equations of order one. Linear differential equations with constant and variable coefficients. Systems of such equations. Transform and series solution techniques. Emphasis on applications.,Dawei Shen,,,10029,,V2030-20271-002,ORDINARY DIFFERENTIAL EQU,Mathematics,MATH,https://doc.sis.columbia.edu/subj/MATH/V2030-20271-002/,,In-Person,,3,"MATH UN1102
MATH UN1201",,20271MATH2030V002,LECTURE
MATH UN2500,ANALYSIS AND OPTIMIZATION,"Prerequisites: MATH UN1102 and MATH UN1201 or the equivalent and MATH UN2010. Mathematical methods for economics. Quadratic forms, Hessian, implicit functions. Convex sets, convex functions. Optimization, constrained optimization, Kuhn-Tucker conditions. Elements of the calculus of variations and optimal control. (SC)",,,,10030,,V2500-20271-001,,Mathematics,MATH,https://doc.sis.columbia.edu/subj/MATH/V2500-20271-001/,,In-Person,,3,"MATH UN1102
MATH UN1201
MATH UN2010",,20271MATH2500V001,LECTURE
MATH UN3007,COMPLEX VARIABLES,"Prerequisites: MATH UN1202 An elementary course in functions of a complex variable. Fundamental properties of the complex numbers, differentiability, Cauchy-Riemann equations. Cauchy integral theorem. Taylor and Laurent series, poles, and essential singularities. Residue theorem and conformal mapping.(SC)",Sangiovanni Vincentelli Marco,,,10031,,V3007-20271-001,,Mathematics,MATH,https://doc.sis.columbia.edu/subj/MATH/V3007-20271-001/,,In-Person,,3,MATH UN1202,,20271MATH3007V001,LECTURE
MATH UN3020,NUMBER THEORY AND CRYPTOGRAPHY,Prerequisites: one year of calculus. Prerequisite: One year of Calculus. Congruences. Primitive roots. Quadratic residues. Contemporary applications.,Yoonjoo Kim,,,10032,,V3020-20271-001,NUMBER THEORY AND CRYPTOG,Mathematics,MATH,https://doc.sis.columbia.edu/subj/MATH/V3020-20271-001/,,In-Person,,3,,,20271MATH3020V001,LECTURE
MATH UN3028,PARTIAL DIFFERENTIAL EQUATIONS,"Prerequisites: (MATH UN2010 and MATH UN2030) or the equivalent introduction to partial differential equations. First-order equations. Linear second-order equations; separation of variables, solution by series expansions. Boundary value problems.",Panagiota Daskalopoulos,,,10033,,V3028-20271-001,PARTIAL DIFFERENTIAL EQUA,Mathematics,MATH,https://doc.sis.columbia.edu/subj/MATH/V3028-20271-001/,,In-Person,,3,"MATH UN2010
MATH UN2030",,20271MATH3028V001,LECTURE
MATH UN3050,DISCRETE TIME MODELS IN FINANC,"Prerequisites: (MATH UN1102 and MATH UN1201) or (MATH UN1101 and MATH UN1102 and MATH UN1201) and MATH UN2010 Recommended: MATH UN3027 (or MATH UN2030 and SIEO W3600). Elementary discrete time methods for pricing financial instruments, such as options. Notions of arbitrage, risk-neutral valuation, hedging, term-structure of interest rates.",Mikhail Smirnov,,,10034,,V3050-20271-001,DISCRETE TIME MODELS IN F,Mathematics,MATH,https://doc.sis.columbia.edu/subj/MATH/V3050-20271-001/,,In-Person,,3,"MATH UN1101
MATH UN1102
MATH UN1102
MATH UN1201
MATH UN1201
MATH UN2010
MATH UN2030
MATH UN3027
SIEO W3600",,20271MATH3050V001,LECTURE
MATH UN3902,SUPERVISED READINGS II,"Prerequisites: The written permission of the faculty member who agrees to act as sponsor (sponsorship limited to full-time instructors on the staff list), as well as the permission of the Director of Undergraduate Studies. The written permission must be deposited with the Director of Undergraduate Studies before registration is completed. Guided reading and study in mathematics. A student who wishes to undertake individual study under this program must present a specific project to a member of the staff and secure his or her willingness to act as sponsor. Written reports and periodic conferences with the instructor. 
  
Supervising Readings do NOT count towards major requirements, with the exception of an advanced written approval by the DUS.",,,,00048,,V3902-20271-001,,Mathematics @Barnard,MATH,https://doc.sis.columbia.edu/subj/MATH/V3902-20271-001/,,,,1-3,,,20271MATH3902V001,INDEPENDENT
MATH UN3952,UNDERGRADUATE SEMINARS II,"Prerequisites: two years of calculus, at least one year of additional mathematics courses, and the director of undergraduate studies' permission. The subject matter is announced at the start of registration and is different in each section. Each student prepares talks to be given to the seminar, under the supervision of a faculty member or senior teaching fellow. Prerequisite: two years of calculus, at least one year of additional mathematics courses, and the director of undergraduate studies' permission.",Faculty,,,00049,,V3952-20271-001,,Mathematics @Barnard,MATH,https://doc.sis.columbia.edu/subj/MATH/V3952-20271-001/,,,,3,,,20271MATH3952V001,SEMINAR
MATH UN3952,UNDERGRADUATE SEMINARS II,"Prerequisites: two years of calculus, at least one year of additional mathematics courses, and the director of undergraduate studies' permission. The subject matter is announced at the start of registration and is different in each section. Each student prepares talks to be given to the seminar, under the supervision of a faculty member or senior teaching fellow. Prerequisite: two years of calculus, at least one year of additional mathematics courses, and the director of undergraduate studies' permission.",Chiu-Chu Liu,,,10035,,V3952-20271-101,,Mathematics,MATH,https://doc.sis.columbia.edu/subj/MATH/V3952-20271-101/,,In-Person,,3,,,20271MATH3952V101,SEMINAR
