course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_culpa_link,instructor_culpa_nugget,instructor_culpa_reviews_count,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
AFAS UN1001,INTRO TO AFRICAN-AMER STUDIES,"From the arrival of enslaved Africans to the recent election of President Barack Obama, black people have been central to the story of the United States, and the Americas, more broadly. African Americans have been both contributors to, and victims of, this “New World” democratic experiment. To capture the complexities of this ongoing saga, this course offers an inter-disciplinary exploration of the development of African-American cultural and political life in the U.S., but also in relationship to the different African diasporic outposts of the Atlantic world. The course will be organized both chronologically and thematically, moving from the “middle passage” to the present so-called “post-racial” moment—drawing on a range of classical texts, primary sources, and more recent secondary literature—to grapple with key questions, concerns, and problems (i.e., agency, resistance, culture, etc.) that have preoccupied scholars of African-American history, culture, and politics. Students will be introduced to a range of disciplinary methods and theoretical approaches (spanning the humanities and social sciences), while also attending to the critical tension between intellectual work and everyday life, which are central to the formation of African-American Studies as an academic field. This course will engage specific social formations (i.e., migration, urbanization, globalization, etc.), significant cultural/political developments (i.e., uplift ideologies, nationalism, feminism, Pan-Africanism, religion/spirituality, etc.), and hallmark moments/movements (i.e., Harlem Renaissance, Civil Rights movement, etc.). By the end of the semester, students will be expected to possess a working knowledge of major themes/figures/traditions, alongside a range of cultural/political practices and institutional arrangements, in African-American Studies.",Josef Sorett,10:10am,11:25am,63368,Morningside,UN1001-20183-001,,"African-American Studies, Institute for Research in",AFAS,http://culpa.info/professors/9341,silver,3.0,https://en.wikipedia.org/wiki/Josef_Sorett,https://web.archive.org///web/20180526095606/http://www.columbia.edu/cu/bulletin/uwb/subj/AFAS/UN1001-20183-001/,To be announced,,"Barnard
Columbia College
Engineering and Applied Science: Undergraduate
General Studies
Global Programs
School of Professional Studies",4,,MW,20183AFAS1001C001,LECTURE
AFEN BC3134,UNHEARD VOICES: AFRICAN WOMEN,"How does one talk of women in Africa without thinking of Africa as a 'mythic unity'? We will consider the political, racial, social and other contexts in which African women write and are written about in the context of their located lives in Africa and in the African Diaspora.",Yvette Christianse,2:10pm,4:00pm,04111,Barnard College,BC3134-20183-001,UNHEARD VOICES-AFRCN WM'S LIT,Africana Studies (AFSB),AFEN,,,,https://en.wikipedia.org/wiki/Yvette_Christians%C3%AB,https://web.archive.org///web/20180909125315/http://www.columbia.edu/cu/bulletin/uwb/subj/AFEN/BC3134-20183-001,501 Diana Center,,,4,,R,20183AFEN3134X001,SEMINAR
AFRS BC2004,INTRODUCTN TO AFRICAN STUDIES,"Interdisciplinary and thematic approach to the study of Africa, moving from pre-colonial through colonial and post-colonial periods to contemporary Africa. Focus will be on its history, societal relations, politics and the arts. The objective is to provide a critical survey of the history as well as the continuing debates in African Studies.",Abosede A George,11:40am,12:55pm,02457,Barnard College,BC2004-20183-001,,Africana Studies (AFSB),AFRS,http://culpa.info/professors/3323,silver,11.0,https://en.wikipedia.org/wiki/Abosede_George,https://web.archive.org///web/20180908153218/http://www.columbia.edu/cu/bulletin/uwb/subj/AFRS/BC2004-20183-001,409 Barnard Hall,,"Barnard
Columbia College
Engineering and Applied Science: Undergraduate
General Studies
Global Programs
School of Professional Studies",3,,MW,20183AFRS2004X001,LECTURE
AHIS BC1001,INTRODUCTION TO ART HISTORY I,"Attempting to offer an introduction to artistic creation on a global scale, this course is team-taught by specialists in a number of different cultural and historical traditions. In the fall semester we will discuss the art of Europe, the Middle East, India, Japan, and China, in periods ranging from the Paleolithic to the Renaissance. Museum trips are an integral part of the course. 
Note: weekly discussion groups to be arranged
. Discussion Section Required.",,2:40pm,3:55pm,01791,Barnard College,BC1001-20183-001,,Art History @Barnard,AHIS,,,,,https://web.archive.org///web/20180613082031/http://www.columbia.edu/cu/bulletin/uwb/subj/AHIS/BC1001-20183-001/,To be announced,,"Barnard
Columbia College
Engineering and Applied Science: Undergraduate
General Studies
Global Programs
School of Professional Studies",4,,MW,20183AHIS1001X001,LECTURE
AHIS BC1011,INTRO TO ART HISTORY I - DIS,,,,,01792,Barnard College,BC1011-20183-001,INTRO TO ART HISTORY I-DIS,Art History @Barnard,AHIS,,,,,https://web.archive.org///web/20180613074133/http://www.columbia.edu/cu/bulletin/uwb/subj/AHIS/BC1011-20183-001/,,,,0,,,20183AHIS1011X001,DISCUSSION
AHIS BC2001,DRAWING STUDIO,"This course will explore drawing as an open-ended way of working and thinking that serves as a foundation for all other forms of visual art.  The class is primarily a workshop, augmented by slides lectures and videos, homework assignments and field trips.  Throughout the semester, students will discuss their work individually with the instructor and as a group.  Starting with figure drawing and moving on to process work and mapping and diagrams, we will investigate drawing as a practice involving diverse forms of visual culture.",Faculty,9:00am,12:50pm,04250,Barnard College,BC2001-20183-001,,Art History @Barnard,AHIS,,,,,https://web.archive.org///web/20180613082036/http://www.columbia.edu/cu/bulletin/uwb/subj/AHIS/BC2001-20183-001/,To be announced,,"Barnard
Columbia College
Engineering and Applied Science: Undergraduate
General Studies
Global Programs
School of Professional Studies",3,,R,20183AHIS2001X001,STUDIO
AHIS BC2005,PAINTING I,"This course will focus on individual and collaborative projects designed to explore the fundamental principles of image making. Students acquire a working knowledge of concepts in contemporary art through class critiques, discussion, and individual meetings with the professor.  Reading materials will provide historical and philosophical background to the class assignments.  Class projects will range from traditional to experimental and multi-media. Image collections will be discussed in class with an awareness of contemporary image production.",Joan Snitzer,2:10pm,6:00pm,05809,Barnard College,BC2005-20183-001,,Art History @Barnard,AHIS,http://culpa.info/professors/2858,,4.0,,https://web.archive.org///web/20180613072104/http://www.columbia.edu/cu/bulletin/uwb/subj/AHIS/BC2005-20183-001/,To be announced,,"Barnard
Columbia College
Engineering and Applied Science: Undergraduate
General Studies
Global Programs
School of Professional Studies",3,,W,20183AHIS2005X001,STUDIO
AHIS BC2007,PAINTING III,"This course will focus on individual and collaborative projects designed to explore the fundamental principles of image making. Students acquire a working knowledge of concepts in contemporary art through class critiques, discussion, and individual meetings with the professor.  Reading materials will provide historical and philosophical background to the class assignments.  Class projects will range from traditional to experimental and multi-media. Image collections will be discussed in class with an awareness of contemporary image production.",Joan Snitzer,2:10pm,6:00pm,04593,Barnard College,BC2007-20183-001,,Art History @Barnard,AHIS,http://culpa.info/professors/2858,,4.0,,https://web.archive.org///web/20180613072109/http://www.columbia.edu/cu/bulletin/uwb/subj/AHIS/BC2007-20183-001/,To be announced,,"Barnard
Columbia College
Engineering and Applied Science: Undergraduate
General Studies
Global Programs
School of Professional Studies",3,,W,20183AHIS2007X001,STUDIO
AHIS BC2015,SYNTHESIS: MIXED MEDIA STUDIO,,Faculty,10:00am,1:50pm,09172,Barnard College,BC2015-20183-001,,Art History @Barnard,AHIS,,,,,https://web.archive.org///web/20180613082041/http://www.columbia.edu/cu/bulletin/uwb/subj/AHIS/BC2015-20183-001/,To be announced,,"Barnard
Columbia College
Engineering and Applied Science: Undergraduate
General Studies
Global Programs
School of Professional Studies",3,,W,20183AHIS2015X001,STUDIO
AHIS BC3003,SUPERVISED PROJ PHOTOGRAPHY,"Prerequisites: Enrollment limited to 15 students. 
 Designed for students to conduct independent projects in photography. Priority for enrollment to the class will be Barnard College students who are enrolling in classes at ICP (International Center of Photography).  The cost of ICP will be covered by Barnard College. All of the other students enrolling in the course (CC, GS SOA) will be responsible for their own ICP course expenses.",John Miller,11:00am,12:50pm,07389,Barnard College,BC3003-20183-001,SUPERVISED PHOTO PROJECTS,Art History @Barnard,AHIS,http://culpa.info/professors/2425,,2.0,,https://web.archive.org///web/20180613072114/http://www.columbia.edu/cu/bulletin/uwb/subj/AHIS/BC3003-20183-001/,To be announced,,"Barnard
Columbia College
Engineering and Applied Science: Undergraduate
General Studies
Global Programs
School of Professional Studies",3,,M,20183AHIS3003X001,STUDIO
