course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_culpa_link,instructor_culpa_nugget,instructor_culpa_reviews_count,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
ACCT B5001,Accounting I: Financial Accoun,,,,,12404,Morningside,B5001-20172-300,,Accounting (ACCT),ACCT,,,,,https://web.archive.org///web/20170623083204/http://www.columbia.edu/cu/bulletin/uwb/subj/ACCT/B5001-20172-300/,,,Business,3,,,20172ACCT5001B300,LECTURE
ACCT B5001,Accounting I: Financial Accoun,,,,,21316,Morningside,B5001-20172-002,,Accounting (ACCT),ACCT,,,,,https://web.archive.org///web/20170623083202/http://www.columbia.edu/cu/bulletin/uwb/subj/ACCT/B5001-20172-002/,,,Business,3,,,20172ACCT5001B002,LECTURE
ACCT B5001,Accounting I: Financial Accoun,,,,,29011,Morningside,B5001-20172-XMT,,Accounting (ACCT),ACCT,,,,,https://web.archive.org///web/20170623083206/http://www.columbia.edu/cu/bulletin/uwb/subj/ACCT/B5001-20172-XMT/,,,Business,0,,,20172ACCT5001BXMT,LECTURE
ACCT B5001,Accounting I: Financial Accoun,,,,,64657,Morningside,B5001-20172-001,,Accounting (ACCT),ACCT,,,,,https://web.archive.org///web/20170623083202/http://www.columbia.edu/cu/bulletin/uwb/subj/ACCT/B5001-20172-001/,,,Business,3,,,20172ACCT5001B001,LECTURE
ACCT B5001,Accounting I: Financial Accoun,,,,,72353,Morningside,B5001-20172-400,,Accounting (ACCT),ACCT,,,,,https://web.archive.org///web/20170623083205/http://www.columbia.edu/cu/bulletin/uwb/subj/ACCT/B5001-20172-400/,,,Business,3,,,20172ACCT5001B400,LECTURE
ACCT B5902,Private Equity and Venture Cap,,,,,20082,Morningside,B5902-20172-300,,Accounting (ACCT),ACCT,,,,,https://web.archive.org///web/20170623083208/http://www.columbia.edu/cu/bulletin/uwb/subj/ACCT/B5902-20172-300/,,,Business,3,,,20172ACCT5902B300,LECTURE
ACCT B5903,PROJECT FINANCE,,,,,11171,Morningside,B5903-20172-300,Project Finance,Accounting (ACCT),ACCT,,,,,https://web.archive.org///web/20170623083209/http://www.columbia.edu/cu/bulletin/uwb/subj/ACCT/B5903-20172-300/,,,Business,3,,,20172ACCT5903B300,LECTURE
ACCT B5903,PROJECT FINANCE,,,,,71119,Morningside,B5903-20172-301,Project Finance,Accounting (ACCT),ACCT,,,,,https://web.archive.org///web/20170623083210/http://www.columbia.edu/cu/bulletin/uwb/subj/ACCT/B5903-20172-301/,,,Business,3,,,20172ACCT5903B301,LECTURE
ACCT B5909,Financial Statement Analysis,,,,,27778,Morningside,B5909-20172-300,,Accounting (ACCT),ACCT,,,,,https://web.archive.org///web/20171210001803/http://www.columbia.edu/cu/bulletin/uwb/subj/ACCT/B5909-20172-300/,,,Business,3,,,20172ACCT5909B300,LECTURE
ACCT B5917,"Financial Analysis of Mergers,",,,,,26562,Morningside,B5917-20172-300,,Accounting (ACCT),ACCT,,,,,https://web.archive.org///web/20170623083212/http://www.columbia.edu/cu/bulletin/uwb/subj/ACCT/B5917-20172-300/,,,Business,3,,,20172ACCT5917B300,LECTURE
