course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
ACCT B5001,Financial Accounting,,Radha Radhakrishna,9:00am,10:15am,11884,Morningside,B5001-20222-001,,Accounting (ACCT),ACCT,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B5001-20222-001/,To be announced,In-Person,Business,3,,FS,20222ACCT5001B001,LECTURE
ACCT B5001,Financial Accounting,,Radha Radhakrishna,9:00am,10:15am,11885,Morningside,B5001-20222-002,,Accounting (ACCT),ACCT,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B5001-20222-002/,To be announced,In-Person,Business,3,,FS,20222ACCT5001B002,LECTURE
ACCT B5001,Financial Accounting,,Amir Ziv,9:00am,10:15am,11886,Morningside,B5001-20222-300,,Accounting (ACCT),ACCT,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B5001-20222-300/,To be announced,In-Person,Business,3,,MS,20222ACCT5001B300,LECTURE
ACCT B5001,Financial Accounting,,Faculty,,,11897,Morningside,B5001-20222-XMT,,Accounting (ACCT),ACCT,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B5001-20222-XMT/,,In-Person,,0,,,20222ACCT5001BXMT,LECTURE
ACCT B5902,Private Equity and Venture Cap,,Faculty,9:00am,10:15am,13275,Morningside,B5902-20222-300,,Accounting (ACCT),ACCT,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B5902-20222-300/,To be announced,In-Person,,3,,TWRFS,20222ACCT5902B300,LECTURE
ACCT B7007,Financial Planning & Analyis,,Igor Vaysman,9:00am,10:15am,12132,Morningside,B7007-20222-001,Financial Planning & Anal,Accounting (ACCT),ACCT,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B7007-20222-001/,To be announced,In-Person,,1.5,,FS,20222ACCT7007B001,LECTURE
ACCT B7009,Financial Statement Analysis a,,Benjamin Segal,9:00am,10:15am,11887,Morningside,B7009-20222-001,Financial Statement Analy,Accounting (ACCT),ACCT,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B7009-20222-001/,To be announced,In-Person,,3,,FS,20222ACCT7009B001,LECTURE
ACCT B8007,Financial Planning & Analysis,,Igor Vaysman,5:40pm,8:55pm,11855,Morningside,B8007-20222-001,Financial Planning & Anal,Accounting (ACCT),ACCT,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B8007-20222-001/,440 KRAVIS HALL,In-Person,Business,1.5,,FFM,20222ACCT8007B001,LECTURE
ACTU PS5995,INTERNSHIP IN ACTUARIAL SCIENCE,,Lina Xu,,,10529,Morningside,K5995-20222-H01,INTERNSHIP IN ACTUARIAL S,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5995-20222-H01/,,In-Person,,1,,,20222ACTU5995KH01,INTERNSHIP
ACTU PS6100,INTEG PROJ IN ACTU SCI,,,,,11878,Morningside,K6100-20222-H01,INTEGRATED PROJECTS IN ACTU,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K6100-20222-H01/,,In-Person,,3,,,20222ACTU6100KH01,SEMINAR
